Flyweight,Bantamweight,Featherweight,Lightweight,Welterweight,Middleweight,Light Heavyweight,Heavyweight,Women's Strawweight,Women's Flyweight,Women's Bantamweight,
,Pedro Falcao,Vince Morales,Trevor Peek,Nikolay Veretennikov,,,,,,,
,Vinicius Salvador,Johnny Munoz,David Onama,Ricky Glenn,,,,,,,
,Jesse Butler,Jonathan Martinez,Evan Elder,Zachary Scroggin,,,,,,,
,ChangHo Lee,Ode Osbourne,Genaro Valdez,Francisco Prado,,,,,,,
,Xiao Long,Christian Rodriguez,Gabriel Miranda,Daniel Frunza,,,,,,,
,Yanis Ghemmouri,Isaac Dulgarian,Michal Figlak,,,,,,,,
,Cortavious Romious,Mairon Santos,Melquizael Costa,,,,,,,,
,SuYoung You,Francis Marshall,Anshul Jubli,,,,,,,,
,Baergeng Jieleyisi,Dan Argueta,Jeka Saragih,,,,,,,,
,Aleksandre Topuria,Garrett Armfield,Carl Deaton,,,,,,,,
,Colby Thicknesse,Jarno Errens,Victor Martinez,,,,,,,,
,Josias Musasa,Erik Silva,Loik Radzhabov,,,,,,,,
,AJ Cunningham,Alexander Hernandez,Sam Patterson,,,,,,,,
,Nathan Fletcher,Nick Aguirre,Jesse Butler,,,,,,,,
,Patchy Mix,Yizha,Kamuela Kirk,,,,,,,,
,Felipe Lima,Dennis Buzukja,Landon Quinones,,,,,,,,
,,Manolo Zecchini,Alex Reyes,,,,,,,,
,,Yanis Ghemmouri,Brendon Marotte,,,,,,,,
,,Fernie Garcia,Mohammad Yahya,,,,,,,,
,,Steven Nguyen,Kaynan Kruschewsky,,,,,,,,
,,Luis Pajuelo,Bolaji Oki,,,,,,,,
,,Yadier del Valle,Timmy Cuamba,,,,,,,,
,,Connor Matthews,Darrius Flowers,,,,,,,,
,,Timmy Cuamba,Abdul-Kareem Al-Selwady,,,,,,,,
,,Kaan Ofli,AJ Cunningham,,,,,,,,
,,Nathan Fletcher,Mitch Ramirez,,,,,,,,
,,Zygimantas Ramaska,James Llontop,,,,,,,,
,,Brendon Marotte,King Green,,,,,,,,
,,Farid Basharat,Rolando Bedoya,,,,,,,,
,,Victor Hugo,Jordan Vucenic,,,,,,,,
,,Miles Johns,Francis Marshall,,,,,,,,
,,Austin Bashi,Dennis Buzukja,,,,,,,,
,,Roberto Romero,Roberto Romero,,,,,,,,
,,John Castaneda,Kody Steele,,,,,,,,
,,Mohammad Yahya,Gauge Young,,,,,,,,
,,John Yannis,Gabe Green,,,,,,,,
,,,Matheus Camilo,,,,,,,,
,,,Mairon Santos,,,,,,,,
,,,Sodiq Yusuff,,,,,,,,
,,,Michael Aswell,,,,,,,,
,,,Mark Choinski,,,,,,,,
,,,Tofiq Musayev,,,,,,,,
